exp_log2_cond1	exp_log2_cond2	exp_log2_cond3	exp_log2_cond4	exp_log2_cond5	exp_log2_cond6	cv2_log2_cond1	cv2_log2_cond2	cv2_log2_cond3	cv2_log2_cond4	cv2_log2_cond5	cv2_log2_cond6	LibID
-3.790098	-4.526411	-3.153675	-4.237733	-4.265474	-3.841013		-3.350609					224.000000
-4.455340	-4.158944	-3.902453	-4.092880	-4.286059	-3.855874	-2.035418						225.000000
-4.015406	-3.924479	-3.767372	-3.651690	-3.607987	-3.367427	-1.961023	-2.355111	-2.559268	-1.763546	-1.292676	-2.449983	226.000000
-4.718721	-4.296721	-4.132937	-4.043873	-4.102948	-3.980613	-1.538118	-2.449309	-2.793376	-3.064815	-2.075420	-2.586011	227.000000
-3.208416	-3.394054	-3.497740	-3.746528		-3.593669			-2.798699				228.000000
-4.948060	-4.358253	-4.366734	-3.735042	-4.071339	-3.460891	-2.360337						229.000000
-4.537293	-4.216185	-3.888002	-3.881842	-4.182728	-3.947076	-1.825346	-2.891510	-2.445266	-2.656145	-2.657594	-2.439212	230.000000
-1.842364	-1.818249	-1.799975	-2.002660	-2.185948	-2.119780	-3.738665	-2.284197	-3.801544	-3.924814	-1.388643	-2.056527	231.000000
-1.300504	-1.240420	-1.337805	-1.575451	-1.530468	-1.302583	-4.033666	-4.590964	-4.749646	-4.739189	-4.314284	-4.385950	232.000000
-4.034685	-3.958620	-3.831603	-3.578014	-3.836874	-3.858365	-1.350609	-1.375599	-2.083725	-2.999620	-1.668369	-2.178535	233.000000
0.745521		0.927589		0.638120		-2.544595		-3.839503		-3.453804		234.000000
-0.249965	-0.252054	-0.314669	-0.330086	-0.184035	-0.321582	-4.429820	-5.591719	-4.135878	-4.366227	-3.808016	-3.540086	235.000000
-5.140705	-4.617521											236.000000
